epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
33,1350.74,0.31008,0.058,0.36549,0.26476,0,0.66076,0.25,0.12417,0.03018,0.66076,0.25,0.12417,0.03305,2.2492,0.93057,2.68127,2.73291,0,0.000610789,0.000610789,0.000610789
34,1385.84,0.30268,0.05213,0.43689,0.25191,0,0,0,0,0,0,0,0,0,2.86336,0.55268,6.75613,3.33837,0,0.000577782,0.000577782,0.000577782
35,1421.02,0.35276,0.06171,0.41135,0.33027,0,0.65921,0.25,0.19518,0.06868,0.65921,0.25,0.19518,0.06114,2.19633,0.75623,2.24834,2.7009,0,0.000544776,0.000544776,0.000544776
36,1456.37,0.35679,0.06872,0.43139,0.30248,0,0.11042,0.28387,0.20708,0.06143,0.11042,0.28387,0.20708,0.0653,2.45664,0.2889,2.15574,3.10421,0,0.000511769,0.000511769,0.000511769
37,1491.27,0.28059,0.05313,0.36192,0.24605,0,0.62275,0.25,0.08819,0.03633,0.62275,0.25,0.08361,0.03744,2.3298,0.2878,2.38598,2.89895,0,0.000478762,0.000478762,0.000478762
38,1526.37,0.28844,0.03724,0.34841,0.26963,0,0.08141,0.25,0.18625,0.05934,0.08141,0.25,0.18625,0.06568,2.36035,0.33742,2.73152,3.12616,0,0.000445756,0.000445756,0.000445756
39,1561.92,0.25852,0.03365,0.27869,0.22789,0,0.06177,0.5,0.09045,0.02676,0.06635,0.5,0.14214,0.03224,2.35555,0.29851,2.53392,3.0773,0,0.000412749,0.000412749,0.000412749
40,1596.7,0.24533,0.03931,0.28272,0.21294,0,0.6265,0.2542,0.3475,0.08721,0.6265,0.2542,0.3475,0.09401,2.27754,0.22631,2.30733,2.88209,0,0.000379743,0.000379743,0.000379743
41,1643.47,0.11185,0.01114,0.10955,0.0962,0,0.59842,0.25,0.17375,0.05802,0.59842,0.25,0.17375,0.07153,2.27303,0.41583,2.33852,2.99367,0,0.000346736,0.000346736,0.000346736
42,1677.22,0.10805,0.00764,0.11754,0.09432,0,0.73198,0.25,0.16542,0.06287,0.73198,0.25,0.19518,0.06795,2.03802,0.72679,2.20628,2.8304,0,0.000313729,0.000313729,0.000313729
43,1710.7,0.10237,0.01012,0.07906,0.08704,0,0.62483,0.25,0.16583,0.07759,0.62483,0.25,0.16583,0.08155,1.99474,0.41685,2.21794,2.86326,0,0.000280723,0.000280723,0.000280723
44,1744.05,0.10076,0.01022,0.08481,0.08856,0,0.59013,0.5,0.11743,0.04043,0.59013,0.5,0.11743,0.04497,1.97065,0.43075,2.52833,2.85292,0,0.000247716,0.000247716,0.000247716
45,1777.31,0.08748,0.01068,0.11929,0.09341,0,0.08222,0.5,0.11056,0.0346,0.08222,0.5,0.11056,0.04488,2.36667,0.30283,2.36144,2.99586,0,0.00021471,0.00021471,0.00021471
46,1810.89,0.0788,0.00817,0.07662,0.0911,0,1,0.29078,0.4975,0.10898,0.93203,0.25,0.33083,0.15718,2.11632,0.59512,1.82101,2.95848,0,0.000181703,0.000181703,0.000181703
47,1844.48,0.07659,0.00886,0.07621,0.0903,0,0.73873,0.25,0.16221,0.04771,0.73873,0.25,0.16221,0.07825,2.41403,0.43619,2.42137,3.51,0,0.000148696,0.000148696,0.000148696
48,1878.27,0.07477,0.01018,0.07618,0.09097,0,0.0357,0.25,0.05853,0.02728,0.0357,0.25,0.05853,0.03576,2.43813,0.41415,2.20402,3.29567,0,0.00011569,0.00011569,0.00011569
49,1911.59,0.07565,0.00962,0.07937,0.08944,0,0.74246,0.5,0.33167,0.08879,0.74246,0.5,0.33167,0.1102,1.94811,0.371,1.91937,2.80676,0,8.26832e-05,8.26832e-05,8.26832e-05
50,1945.3,0.0737,0.00755,0.07115,0.09322,0,0.62362,0.5,0.15393,0.04724,0.62362,0.5,0.15393,0.06151,2.36984,0.46175,2.0911,3.52898,0,4.96766e-05,4.96766e-05,4.96766e-05
