epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
31,42.7323,0.5784,0.24109,1.07858,1.01797,0,0.9835,1,0.995,0.84575,0.9835,1,0.995,0.74625,0.54242,0.21123,0.68473,0.90779,0,0.0011719,0.0011719,0.0011719
32,43.9718,0.61359,0.22923,1.08491,0.99759,0,0.97236,1,0.995,0.8955,0.97236,1,0.995,0.8705,0.43948,0.28419,0.72677,0.85878,0,0.0011554,0.0011554,0.0011554
33,45.2422,0.49825,0.26071,0.94853,0.90036,0,0.97718,1,0.995,0.94525,0.97718,1,0.995,0.8955,0.42596,0.36054,0.80964,0.85819,0,0.00113889,0.00113889,0.00113889
34,46.5614,0.48995,0.33494,0.97819,0.9295,0,0.92231,1,0.995,0.92025,0.92231,1,0.995,0.82075,0.44046,0.13859,1.30252,0.88034,0,0.00112239,0.00112239,0.00112239
35,47.8352,0.55972,0.25864,0.97495,0.93337,0,0.91387,1,0.995,0.94525,0.91387,1,0.995,0.8705,0.40508,0.11448,1.3552,0.86731,0,0.00110589,0.00110589,0.00110589
36,49.078,0.49579,0.28907,1.01863,0.96875,0,0.93255,1,0.995,0.94525,0.93255,1,0.995,0.84575,0.33154,0.12802,1.13029,0.82697,0,0.00108938,0.00108938,0.00108938
37,50.3299,0.54862,0.34362,0.95607,0.94575,0,0.93994,1,0.995,0.94525,0.93994,1,0.995,0.8705,0.32863,0.13536,0.97159,0.8266,0,0.00107288,0.00107288,0.00107288
38,51.5897,0.42766,0.17127,0.86962,0.90623,0,0.97273,1,0.995,0.94525,0.97273,1,0.995,0.86206,0.32303,0.09912,0.6809,0.81943,0,0.00105638,0.00105638,0.00105638
39,52.8771,0.45479,0.24334,0.83597,0.92666,0,0.98179,1,0.995,0.94525,0.98179,1,0.995,0.92025,0.3045,0.09402,0.67339,0.81501,0,0.00103987,0.00103987,0.00103987
40,54.165,0.45062,0.19695,0.94266,0.91186,0,0.72702,1,0.995,0.8955,0.72702,1,0.995,0.84575,0.45829,0.11906,1.05709,0.8432,0,0.00102337,0.00102337,0.00102337
