epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
33,1137.29,0.5646,0.08743,1.98242,0.55268,0,0.66346,0.5,0.55278,0.18845,0.66346,0.5,0.55278,0.14865,2.31939,0.4642,5.99148,2.84408,0,0.000610789,0.000610789,0.000610789
34,1170.25,0.45768,0.17413,1.58861,0.44861,0,0.28371,0.75,0.40821,0.20298,0.28371,0.75,0.40821,0.18216,1.81991,0.26957,5.67331,2.14017,0,0.000577782,0.000577782,0.000577782
35,1203.44,0.56638,0.0843,1.96161,0.56545,0,0.73242,0.5,0.58867,0.33664,0.73242,0.5,0.58867,0.24074,1.9698,0.24518,5.09949,2.32405,0,0.000544776,0.000544776,0.000544776
36,1236.88,0.53794,0.08961,1.86907,0.53229,0,0.27713,0.75,0.65143,0.3291,0.31932,0.75,0.81643,0.32128,1.63276,0.3335,4.69097,1.98989,0,0.000511769,0.000511769,0.000511769
37,1269.86,0.49771,0.0617,1.6662,0.50131,0,0.34114,0.78455,0.74625,0.4776,0.34114,0.78455,0.74625,0.37559,1.56002,0.82561,4.63958,2.10842,0,0.000478762,0.000478762,0.000478762
38,1302.42,0.39661,0.06431,1.2277,0.43079,0,0.92117,0.5,0.69268,0.377,0.92117,0.5,0.69268,0.37771,1.75116,0.3194,5.4716,2.05123,0,0.000445756,0.000445756,0.000445756
39,1335.2,0.47226,0.06227,1.61352,0.4848,0,0.96365,0.5,0.845,0.38475,0.96365,0.5,0.845,0.38005,1.64001,0.23667,5.08892,2.09356,0,0.000412749,0.000412749,0.000412749
40,1367.92,0.41897,0.06602,1.33216,0.43387,0,0.91922,0.5,0.77625,0.35187,0.91922,0.5,0.77625,0.28554,1.89249,0.39314,6.79871,2.1135,0,0.000379743,0.000379743,0.000379743
41,1412.28,0.1681,0.01875,0.46037,0.19654,0,0.96922,0.5,0.81643,0.41568,0.96922,0.5,0.81643,0.36052,1.33001,0.51423,6.07948,1.99171,0,0.000346736,0.000346736,0.000346736
42,1443.21,0.14898,0.01859,0.43277,0.17866,0,0.97829,0.5,0.82917,0.36041,0.97829,0.5,0.82917,0.34773,1.92547,0.42124,5.10838,2.29253,0,0.000313729,0.000313729,0.000313729
43,1474.16,0.14755,0.02274,0.35478,0.18234,0,0.97923,0.5,0.74625,0.40679,0.97923,0.5,0.74625,0.3722,1.68375,0.33955,5.47942,2.10187,0,0.000280723,0.000280723,0.000280723
44,1505.07,0.13993,0.0204,0.38073,0.16797,0,0.65011,0.75,0.91167,0.55063,0.47919,1,0.82917,0.54863,1.40283,0.38685,4.84838,1.93586,0,0.000247716,0.000247716,0.000247716
45,1536,0.15417,0.01413,0.34048,0.18735,0,0.98398,0.5,0.91167,0.58268,0.98398,0.5,0.91167,0.54412,1.44052,0.40541,5.17006,1.95776,0,0.00021471,0.00021471,0.00021471
46,1566.76,0.13391,0.01713,0.33582,0.16397,0,0.60574,0.75,0.87,0.49635,0.60574,0.75,0.87,0.45332,1.432,0.2199,5.67064,1.95773,0,0.000181703,0.000181703,0.000181703
47,1597.7,0.15092,0.02358,0.32853,0.17671,0,0.97268,0.5,0.82917,0.49329,0.97268,0.5,0.82917,0.5555,1.51546,0.18812,5.57225,1.94326,0,0.000148696,0.000148696,0.000148696
48,1628.47,0.11991,0.01905,0.32041,0.15307,0,0.47039,0.75,0.70458,0.43773,0.47039,0.75,0.70458,0.48748,1.47468,0.21476,6.95625,1.87311,0,0.00011569,0.00011569,0.00011569
49,1659.26,0.13601,0.01938,0.35427,0.16862,0,0.55645,0.75,0.845,0.49027,0.55645,0.75,0.845,0.43916,1.49665,0.26021,6.06546,1.86419,0,8.26832e-05,8.26832e-05,8.26832e-05
50,1689.91,0.13356,0.01291,0.28494,0.16926,0,0.59403,0.75,0.87,0.48492,0.59403,0.75,0.87,0.49986,1.57643,0.22882,5.38598,1.91621,0,4.96766e-05,4.96766e-05,4.96766e-05
